Save Name,Game,Model,Epoch,Training Duration,Learning Rate,Gamma,Memory Size,Batch Size,Loss1,Reward1,Loss2,Reward2,Loss3,Reward3,Loss4,Reward4,Loss5,Reward5
DQNNN.pth,SpaceInvaders-v5,DQN,5,0H 2Min 46S,0.05,0.99,1000,32,4336.022187402297,-528.0,3894.672168596706,-511.0,5297.19874783852,-628.0,2956.511007751702,-521.0,2996.4785454054863,-542.0
DQN2.pth,SpaceInvaders-v5,DQN,5,0H 2Min 29S,0.05,0.99,1000,32,672.286883672029,-341.0,3784.782979671503,-436.0,4699.072263535091,-691.0,1840.7002547187553,-519.0,1420.3082948388949,-610.0
DQN2.pth,SpaceInvaders-v5,DQN,5,0H 1Min 50S,0.05,0.99,1000,32,429.10892603666434,-514.0,1252.5413704810271,-449.0,1270.3482669233053,-464.0,1561.7898775726553,-471.0,2845.234985722752,-452.0
DQN3.pth,SpaceInvaders-v5,DQN,5,0H 2Min 10S,0.05,0.99,1000,32,4052.187751659745,-497.0,3533.7177571289412,-576.0,2483.843392666464,-488.0,2316.2180252997227,-543.0,2330.116791304457,-531.0
DQN4.pth,SpaceInvaders-v5,DQN,5,0H 1Min 35S,0.05,0.99,1000,32,2404.0100065344777,-555.0,2316.2219354025765,-515.0,1460.2462461800824,-394.0,1427.8284747948474,-529.0,1423.5282877202435,-538.0
DQNN1.pth,Seaquest-v5,DQN,50,0H 22Min 27S,0.05,0.99,1000,32,2812.4305468729276,-779.0,2412.354486344022,-663.0,2874.975428534693,-842.0,2612.8265300428466,-748.0,2075.0708874731754,-701.0
GGFGJF.pth,SpaceInvaders-v5,DQN,5,0H 3Min 1S,0.05,0.99,1000,32,814.2350542475651,-484.0,5918.1464296915365,-643.0,4082.553424583315,-521.0,6045.425771442832,-766.0,26591.444118285235,-568.0
DQN12.pth,SpaceInvaders-v5,DQN,20,0H 6Min 38S,0.05,0.99,1000,32,3122.85744186192,-630.0,2076.8348457536313,-616.0,1450.5436265392257,-534.0,18376.8849277851,-627.0,652.2573745274465,-572.0
lastDQN.pth,SpaceInvaders-v5,DQN,200,1H 28Min 50S,0.05,0.99,1000,32,739.3243330757443,-509.0,2310.230737740388,-875.0,1409.2467773826322,-698.0,10718.018694636334,-601.0,475.74168780811635,-488.0
1111111.pth,ALE/SpaceInvaders-v5,DQN,5,0H 2Min 22S,0.05,0.99,1000,32,1711.0516947646902,-501.0,2367.5274961029427,-531.0,3254.197284006008,-576.0,4425.571893049184,-699.0,3330.0169203483574,-628.0
222.pth,ALE/SpaceInvaders-v5,DQN,20,0H 8Min 3S,0.05,0.99,1000,32,2510.329829519499,-586.0,2789.739094888245,-731.0,1145.2127856273482,-848.0,1870.9490315294238,-749.0,2399.463112267297,-737.0
FULLDQN.pth,SpaceInvaders-v5,DQN,20,0H 11Min 22S,0.0001,0.9,10000,32,1618.630366704212,-499.0,3090.521707988082,-791.0,1855.1457089933392,-636.0,1973.5629844454816,-782.0,1335.284710874781,-603.0
